time_s,device_ip,access_score,traffic_score,portscan_score,protocol_score,total_score,level
2.000,10.0.60.2,97.000,0.000,0.000,0.000,33.950,NORMAL
2.000,10.0.60.3,97.000,0.000,0.000,0.000,33.950,NORMAL
2.000,10.0.60.4,97.000,0.000,0.000,0.000,33.950,NORMAL
2.000,10.0.60.5,97.000,0.000,0.000,0.000,33.950,NORMAL
2.000,10.0.60.6,97.000,0.000,0.000,0.000,33.950,NORMAL
2.000,10.0.60.7,97.000,0.000,0.000,0.000,33.950,NORMAL
2.000,10.0.60.8,97.000,0.000,0.000,0.000,33.950,NORMAL
2.000,10.0.60.9,97.000,0.000,0.000,0.000,33.950,NORMAL
3.000,10.0.60.2,97.000,0.000,0.000,0.000,33.950,NORMAL
3.000,10.0.60.3,97.000,0.000,0.000,0.000,33.950,NORMAL
3.000,10.0.60.4,97.000,0.000,0.000,0.000,33.950,NORMAL
3.000,10.0.60.5,97.000,0.000,0.000,0.000,33.950,NORMAL
3.000,10.0.60.6,97.000,0.000,0.000,0.000,33.950,NORMAL
3.000,10.0.60.7,97.000,0.000,0.000,0.000,33.950,NORMAL
3.000,10.0.60.8,97.000,0.000,0.000,0.000,33.950,NORMAL
3.000,10.0.60.9,97.000,0.000,0.000,0.000,33.950,NORMAL
4.000,10.0.60.2,97.000,0.000,0.000,0.000,33.950,NORMAL
4.000,10.0.60.3,97.000,0.000,0.000,0.000,33.950,NORMAL
4.000,10.0.60.4,97.000,0.000,0.000,0.000,33.950,NORMAL
4.000,10.0.60.5,97.000,0.000,0.000,0.000,33.950,NORMAL
4.000,10.0.60.6,97.000,0.000,0.000,0.000,33.950,NORMAL
4.000,10.0.60.7,97.000,0.000,0.000,0.000,33.950,NORMAL
4.000,10.0.60.8,97.000,0.000,0.000,0.000,33.950,NORMAL
4.000,10.0.60.9,97.000,0.000,0.000,0.000,33.950,NORMAL
5.000,10.0.60.2,97.000,0.000,0.000,0.000,33.950,NORMAL
5.000,10.0.60.3,97.000,0.000,0.000,0.000,33.950,NORMAL
5.000,10.0.60.4,97.000,0.000,0.000,0.000,33.950,NORMAL
5.000,10.0.60.5,97.000,0.000,0.000,0.000,33.950,NORMAL
5.000,10.0.60.6,97.000,0.000,0.000,0.000,33.950,NORMAL
5.000,10.0.60.7,97.000,0.000,0.000,0.000,33.950,NORMAL
5.000,10.0.60.8,97.000,0.000,0.000,0.000,33.950,NORMAL
5.000,10.0.60.9,97.000,0.000,0.000,0.000,33.950,NORMAL
6.000,10.0.60.2,97.000,0.000,0.000,0.000,33.950,NORMAL
6.000,10.0.60.3,97.000,0.000,0.000,0.000,33.950,NORMAL
6.000,10.0.60.4,97.000,0.000,0.000,0.000,33.950,NORMAL
6.000,10.0.60.5,97.000,0.000,0.000,0.000,33.950,NORMAL
6.000,10.0.60.6,97.000,0.000,0.000,0.000,33.950,NORMAL
6.000,10.0.60.7,97.000,0.000,0.000,0.000,33.950,NORMAL
6.000,10.0.60.8,97.000,0.000,0.000,0.000,33.950,NORMAL
6.000,10.0.60.9,97.000,0.000,0.000,0.000,33.950,NORMAL
7.000,10.0.10.2,0.000,23.763,0.000,0.000,5.941,NORMAL
7.000,10.0.10.3,0.000,23.748,0.000,0.000,5.937,NORMAL
7.000,10.0.10.4,0.000,23.764,0.000,0.000,5.941,NORMAL
7.000,10.0.10.5,0.000,23.718,0.000,0.000,5.929,NORMAL
7.000,10.0.20.3,0.000,23.744,0.000,0.000,5.936,NORMAL
7.000,10.0.20.4,0.000,23.753,0.000,0.000,5.938,NORMAL
7.000,10.0.20.5,0.000,23.752,0.000,0.000,5.938,NORMAL
7.000,10.0.20.6,0.000,23.732,0.000,0.000,5.933,NORMAL
7.000,10.0.20.7,0.000,23.752,0.000,0.000,5.938,NORMAL
7.000,10.0.20.8,0.000,23.720,0.000,0.000,5.930,NORMAL
7.000,10.0.20.9,0.000,23.733,0.000,0.000,5.933,NORMAL
7.000,10.0.20.10,0.000,23.739,0.000,0.000,5.935,NORMAL
7.000,10.0.20.11,0.000,23.734,0.000,0.000,5.933,NORMAL
7.000,10.0.30.2,0.000,23.754,0.000,0.000,5.938,NORMAL
7.000,10.0.30.3,0.000,23.735,0.000,0.000,5.934,NORMAL
7.000,10.0.30.4,0.000,23.757,0.000,0.000,5.939,NORMAL
7.000,10.0.30.5,0.000,23.738,0.000,0.000,5.934,NORMAL
7.000,10.0.30.6,0.000,23.755,0.000,0.000,5.939,NORMAL
7.000,10.0.30.7,0.000,23.762,0.000,0.000,5.940,NORMAL
7.000,10.0.30.8,0.000,23.759,0.000,0.000,5.940,NORMAL
7.000,10.0.30.9,0.000,23.734,0.000,0.000,5.934,NORMAL
7.000,10.0.30.10,0.000,23.751,0.000,0.000,5.938,NORMAL
7.000,10.0.30.11,0.000,23.751,0.000,0.000,5.938,NORMAL
7.000,10.0.40.2,0.000,23.758,0.000,0.000,5.940,NORMAL
7.000,10.0.40.3,0.000,23.738,0.000,0.000,5.934,NORMAL
7.000,10.0.40.4,0.000,23.752,0.000,0.000,5.938,NORMAL
7.000,10.0.40.5,0.000,23.739,0.000,0.000,5.935,NORMAL
7.000,10.0.40.6,0.000,23.743,0.000,0.000,5.936,NORMAL
7.000,10.0.40.7,0.000,23.738,0.000,0.000,5.935,NORMAL
7.000,10.0.50.2,0.000,23.763,0.000,0.000,5.941,NORMAL
7.000,10.0.50.3,0.000,23.739,0.000,0.000,5.935,NORMAL
7.000,10.0.50.4,0.000,23.724,0.000,0.000,5.931,NORMAL
7.000,10.0.50.5,0.000,23.743,0.000,0.000,5.936,NORMAL
7.000,10.0.60.2,97.000,23.754,0.000,0.000,39.888,WARNING
7.000,10.0.60.3,97.000,23.745,0.000,0.000,39.886,WARNING
7.000,10.0.60.4,97.000,23.734,0.000,0.000,39.884,WARNING
7.000,10.0.60.5,97.000,23.727,0.000,0.000,39.882,WARNING
7.000,10.0.60.6,97.000,23.762,0.000,0.000,39.891,WARNING
7.000,10.0.60.7,97.000,23.743,0.000,0.000,39.886,WARNING
7.000,10.0.60.8,97.000,23.725,0.000,0.000,39.881,WARNING
7.000,10.0.60.9,97.000,23.737,0.000,0.000,39.884,WARNING
7.000,10.0.70.2,0.000,23.739,0.000,0.000,5.935,NORMAL
7.000,10.0.70.3,0.000,23.759,0.000,0.000,5.940,NORMAL
7.000,10.0.70.4,0.000,23.729,0.000,0.000,5.932,NORMAL
7.000,10.0.70.5,0.000,23.725,0.000,0.000,5.931,NORMAL
7.000,10.0.70.6,0.000,23.729,0.000,0.000,5.932,NORMAL
7.000,10.0.70.7,0.000,23.740,0.000,0.000,5.935,NORMAL
8.000,10.0.10.2,0.000,23.050,0.000,0.000,5.763,NORMAL
8.000,10.0.10.3,0.000,23.036,0.000,0.000,5.759,NORMAL
8.000,10.0.10.4,0.000,23.051,0.000,0.000,5.763,NORMAL
8.000,10.0.10.5,0.000,23.006,0.000,0.000,5.752,NORMAL
8.000,10.0.20.3,0.000,23.032,0.000,0.000,5.758,NORMAL
8.000,10.0.20.4,0.000,23.040,0.000,0.000,5.760,NORMAL
8.000,10.0.20.5,0.000,23.040,0.000,0.000,5.760,NORMAL
8.000,10.0.20.6,0.000,23.020,0.000,0.000,5.755,NORMAL
8.000,10.0.20.7,0.000,23.040,0.000,0.000,5.760,NORMAL
8.000,10.0.20.8,0.000,23.008,0.000,0.000,5.752,NORMAL
8.000,10.0.20.9,0.000,23.021,0.000,0.000,5.755,NORMAL
8.000,10.0.20.10,0.000,23.027,0.000,0.000,5.757,NORMAL
8.000,10.0.20.11,0.000,23.022,0.000,0.000,5.755,NORMAL
8.000,10.0.30.2,0.000,23.041,0.000,0.000,5.760,NORMAL
8.000,10.0.30.3,0.000,23.023,0.000,0.000,5.756,NORMAL
8.000,10.0.30.4,0.000,23.044,0.000,0.000,5.761,NORMAL
8.000,10.0.30.5,0.000,23.026,0.000,0.000,5.756,NORMAL
8.000,10.0.30.6,0.000,23.042,0.000,0.000,5.761,NORMAL
8.000,10.0.30.7,0.000,23.049,0.000,0.000,5.762,NORMAL
8.000,10.0.30.8,0.000,23.046,0.000,0.000,5.762,NORMAL
8.000,10.0.30.9,0.000,23.022,0.000,0.000,5.756,NORMAL
8.000,10.0.30.10,0.000,23.038,0.000,0.000,5.760,NORMAL
8.000,10.0.30.11,0.000,23.038,0.000,0.000,5.760,NORMAL
8.000,10.0.40.2,0.000,23.046,0.000,0.000,5.761,NORMAL
8.000,10.0.40.3,0.000,23.026,0.000,0.000,5.756,NORMAL
8.000,10.0.40.4,0.000,23.039,0.000,0.000,5.760,NORMAL
8.000,10.0.40.5,0.000,23.027,0.000,0.000,5.757,NORMAL
8.000,10.0.40.6,0.000,23.031,0.000,0.000,5.758,NORMAL
