time_s,flow_id,src,dst,throughput_kbps,delay_ms,lost_packets
120.000,1,10.0.10.2,10.0.80.2,527.379,0.103,0
120.000,2,10.0.10.3,10.0.80.2,527.372,1.218,0
120.000,3,10.0.10.4,10.0.80.2,527.371,1.208,0
120.000,4,10.0.10.5,10.0.80.2,527.375,1.211,0
120.000,5,10.0.20.3,10.0.80.6,527.378,0.158,0
120.000,6,10.0.20.4,10.0.80.6,527.370,1.686,0
120.000,7,10.0.20.5,10.0.80.6,527.367,1.692,0
120.000,8,10.0.20.6,10.0.80.6,527.376,1.688,0
120.000,9,10.0.20.7,10.0.80.6,527.370,1.696,0
120.000,10,10.0.20.8,10.0.80.6,527.368,1.697,0
120.000,11,10.0.20.9,10.0.80.6,527.372,1.696,0
120.000,12,10.0.20.10,10.0.80.6,527.373,1.697,0
120.000,13,10.0.20.11,10.0.80.6,527.374,1.693,0
120.000,14,10.0.30.2,10.0.80.6,527.378,0.213,0
120.000,15,10.0.30.3,10.0.80.6,527.368,1.745,0
120.000,16,10.0.30.4,10.0.80.6,527.375,1.758,0
120.000,17,10.0.30.5,10.0.80.6,527.377,1.764,0
120.000,18,10.0.30.6,10.0.80.6,527.371,1.747,0
120.000,19,10.0.30.7,10.0.80.6,527.369,1.752,0
120.000,20,10.0.30.8,10.0.80.6,527.368,1.752,0
120.000,21,10.0.30.9,10.0.80.6,527.373,1.755,0
120.000,22,10.0.30.10,10.0.80.6,527.368,1.754,0
120.000,23,10.0.30.11,10.0.80.6,527.372,1.756,0
120.000,24,10.0.40.2,10.0.80.5,527.378,0.268,0
120.000,25,10.0.40.3,10.0.80.5,527.371,1.460,0
120.000,26,10.0.40.4,10.0.80.5,527.376,1.450,0
120.000,27,10.0.40.5,10.0.80.5,527.372,1.455,0
120.000,28,10.0.40.6,10.0.80.5,527.337,1.447,1
120.000,29,10.0.40.7,10.0.80.5,527.375,1.460,0
120.000,30,10.0.50.2,10.0.80.2,527.378,0.324,0
120.000,31,10.0.50.3,10.0.80.2,527.338,1.201,1
120.000,32,10.0.50.4,10.0.80.2,527.370,1.212,0
120.000,33,10.0.50.5,10.0.80.2,527.339,1.215,1
120.000,34,10.0.60.2,10.0.80.6,527.377,0.378,0
120.000,35,10.0.60.3,10.0.80.6,527.375,1.627,0
120.000,36,10.0.60.4,10.0.80.6,527.374,1.625,0
120.000,37,10.0.60.5,10.0.80.6,527.371,1.626,0
120.000,38,10.0.60.6,10.0.80.6,527.372,1.628,0
120.000,39,10.0.60.7,10.0.80.6,527.369,1.618,0
120.000,40,10.0.60.8,10.0.80.6,527.369,1.629,0
120.000,41,10.0.60.9,10.0.80.6,527.376,1.628,0
120.000,42,10.0.70.2,10.0.80.2,527.341,0.433,1
120.000,43,10.0.70.3,10.0.80.2,527.369,1.443,0
120.000,44,10.0.70.4,10.0.80.2,527.333,1.461,1
120.000,45,10.0.70.5,10.0.80.2,527.374,1.453,0
120.000,46,10.0.70.6,10.0.80.2,527.341,1.454,1
120.000,47,10.0.70.7,10.0.80.2,527.336,1.454,1
